h_type,location,society,size,bathroom,balcony,total_sqft,yr_built,furniture,sale_type,amenities,market,office,school,college,hospital,population,railway,airport,on_road,air_quality,restaurant,park,price
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1550,2011,0,new,1,1,1,0,0,1,2,0,0,1,1,1,1,4361705
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1550,2012,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,5001905
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1860,2010,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,5588795
apartment,Maneja,Bakeri Swara,2 BHK,2,1,1015,2016,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,3184740
apartment,Maneja,Bakeri Swara,2 BHK,2,1,1210,2019,0,new,1,1,1,0,0,1,2,0,0,1,1,1,1,3498895
apartment,Maneja,Bakeri Swara,4 BHK,4,1,2605,,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,8353084
apartment,Ajwa Road,Pragati Tulsi Heights,2 BHK,2,2,1200,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,1900000
apartment,Ajwa Road,Kanha City,2 BHK,2,2,1200,2011,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,1200000
apartment,Ajwa Road,Kanha City,3 BHK,3,1,1550,2011,1,new,2,1,1,1,0,1,1,0,0,1,1,1,1,3401000
apartment,Ajwa Road,Shree Swaminarayan Niketan,1 BHK,1,1,750,,0,new,0,1,1,0,0,0,1,0,0,0,1,1,0,1100000
apartment,Ajwa Road,Shree Swaminarayan Niketan,2 BHK,2,1,1415,,0,new,0,1,1,0,0,0,1,0,0,0,1,1,0,1951000
duplex,Ajwa Road,DEV Krupa,3 BHK,2,1,2021,,0,new,2,1,1,0,0,0,1,0,0,0,1,1,1,6000000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1135,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3350000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1310,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3750000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1350,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3300000
apartment,Ajwa Road,Dove Deck,3 BHK,2,1,1660,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,4100000
apartment,Ajwa Road,Dove Deck,3 BHK,2,1,1800,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,5500000
apartment,Ajwa Road,Taksh Shivam Enclave,2 BHK,2,1,800,2015,1,resale,1,1,0,0,0,0,1,0,0,1,1,1,1,2300000
apartment,Ajwa Road,Ananta Samruddhi,2 BHK,2,1,1150,2019,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2300000
apartment,Ajwa Road,Ananta Samruddhi,3 BHK,2,1,1410,2019,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2400000
duplex,Ajwa Road,Pancham villa,3 BHK,3,1,1195,,0,resale,1,1,1,1,0,1,1,0,0,0,1,1,1,5100000
duplex,Ajwa Road,Everset Orbit 99,3 BHK,4,1,2000,2019,1,new,1,1,1,1,0,1,1,0,0,1,1,1,1,6750000
duplex,Ajwa Road,Everset Orbit 99,4 BHK,4,1,2100,2019,1,new,1,1,1,0,0,1,1,0,0,1,1,1,1,9000000
duplex,Ajwa Road,Ananta Sanskar,1 BHK,1,1,500,2019,0,new,2,1,1,0,0,1,1,0,0,1,1,1,1,2300000
duplex,Ajwa Road,Ananta Sanskar,2 BHK,2,1,900,2019,1,new,2,1,1,0,0,1,1,0,0,1,1,1,1,2700000
duplex,Ajwa Road,Ananta Sanskar,3 BHK,3,1,1150,2019,1,new,2,1,1,0,0,1,1,0,0,1,1,1,1,3300000
duplex,Ajwa Road,Ananta Sanskar,4 BHK,4,1,1350,2019,0,new,2,1,1,0,0,1,1,0,0,1,1,1,1,4050000
apartment,Harni,Samanvay Samipya,3 BHK,4,1,1791,,1,new,1,1,1,1,1,0,1,0,0,1,1,1,1,4100000
apartment,Waghodia Road,Darshanam Aagman,2 BHK,2,1,1046,2019,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,2190000
apartment,Waghodia Road,Kamlesh Gandhi Ultima Lifestyle,2 BHK,2,1,1494,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,1,3251000
duplex,Waghodia Road,Taksh Aura,3 BHK,3,1,1112,,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,4801000
duplex,Gorwa,Pratham Srushti,3 BHK,3,1,820,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,4940000
duplex,Waghodia Road,Akshar Aashray,1 BHK,1,1,540,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,2250000
duplex,Waghodia Road,Akshar Aashray,3 BHK,2,1,1030,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,2950000
duplex,Waghodia Road,Akshar Aashray,4 BHK,4,1,1350,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,4550000
apartment,Waghodia Road,Shree Siddheshwar Highlite,3 BHK,3,1,1160,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4300000
apartment,Waghodia Road,Sangani Dove Deck,2 BHK,2,1,788,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,3400000
apartment,Waghodia Road,Sangani Dove Deck,3 BHK,3,1,1047,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,6360000
duplex,Waghodia Road,Kalash Villas,4 BHK,3,1,1840,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4250000
duplex,Waghodia Road,ParkRest Villas,3 BHK,3,1,1281,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,3620000
duplex,Waghodia Road,ParkRest Villas,4 BHK,4,1,1206,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4020000
duplex,Waghodia Road,ParkRest Villas,4 BHK,4,1,1281,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4221000
apartment,Waghodia Road,Parweshwar Ved Residency 2,2 BHK,2,0,840,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,1750000
apartment,Waghodia Road,Shree Swaminarayan Park,2 BHK,2,2,1033,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,1900000
apartment,Waghodia Road,Shree Swaminarayan Park,3 BHK,3,2,1289,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,2300000
duplex,Waghodia Road,Shilp Residency,3 BHK,3,3,1600,2016,1,new,1,1,0,1,0,1,1,0,0,1,1,1,1,9445000
apartment,Waghodia Road,Royal Gold ,2 BHK,2,2,1100,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,2851000
apartment,Waghodia Road,Royal Gold ,3 BHK,3,3,1400,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,3751000
apartment,Waghodia Road,Aditya Group,2 BHK,2,1,1080,2017,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,3000000
apartment,Waghodia Road,Aditya Group,3 BHK,3,3,1086,2017,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,4300000
apartment,Waghodia Road,Shree Siddhanath Paradise,2 BHK,2,2,693,,0,new,1,1,1,1,0,1,1,0,1,1,1,1,1,2350000
duplex,Waghodia Road,Shyamal Country ,1 BHK,1,1,595,2017,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,1575000
duplex,Waghodia Road,Shyamal Country ,3 BHK,3,2,1085,2017,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,2225000
apartment,Waghodia Road,Shreeji Nandavan Heights,1 BHK,1,2,750,,0,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,1711000
duplex,Waghodia Road,Darshanam Greens,4 BHK,4,2,1517,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,8880000
duplex,Waghodia Road,Darshanam Greens ,4 BHK,3,2,1560,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,8880000
duplex,Waghodia Road,Darshanam Greens,3 BHK,2,2,1050,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,6000000
duplex,Waghodia Road,Akshar Group,1 BHK,1,0,554,2016,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2600000
